Date,Open,High,Low,Volume
07/08/2017,231.6,235.54,220,5630.699665
08/08/2017,229.42,254.89,227.64,9359.569677
09/08/2017,251.5,269.86,238.1,15928.63274
10/08/2017,252,265,246.51,5490.914048
11/08/2017,258.94,260.8,252.01,2741.260655
12/08/2017,260,272,259,4485.670092
13/08/2017,262.83,264,244,5703.036469
14/08/2017,251.59,260,251.01,3286.2919
15/08/2017,253.8,255.9,230.52,10165.16281
16/08/2017,244.47,259.98,240.74,4534.841382
17/08/2017,256,264.66,255.7,3759.280443
18/08/2017,259.57,261.51,244.7,3229.998915
19/08/2017,252.43,258.88,244.96,1984.899406
20/08/2017,252.11,254,248.75,1313.306921
21/08/2017,253.19,293,253.01,14662.25626
22/08/2017,272.04,280.01,250,5632.362917
23/08/2017,269.75,277.81,266.3,2743.294953
24/08/2017,270.01,280,269.51,2091.939562
25/08/2017,276.98,287,275.55,3144.141749
26/08/2017,280.33,281.19,275.2,1285.301019
27/08/2017,280.79,287.8,280.25,1382.779762
28/08/2017,287.66,293.87,284.55,2729.829017
29/08/2017,291.99,314.75,290.24,7669.576612
30/08/2017,314.1,328,304.85,8285.844045
31/08/2017,325.51,330,316.88,5338.208499
01/09/2017,329.06,334.96,327,5291.109277
02/09/2017,330.43,330.65,282.15,12610.30728
03/09/2017,289.9,314.5,289.9,6260.284203
04/09/2017,298.64,299.9,240,23406.2894
05/09/2017,269.67,281,239.63,11923.47148
06/09/2017,272.65,292.42,267.92,9997.718335
07/09/2017,284.79,286.76,271.2,5231.739234
08/09/2017,280.49,280.49,246.01,13050.08409
09/09/2017,259.47,262.2,246.15,2775.385629
10/09/2017,254.2,258.1,236.5,5719.815863
11/09/2017,255.01,258.11,241.51,2529.621539
12/09/2017,252.01,267.4,240.21,7421.408637
13/09/2017,249.29,249.48,211,15276.08496
14/09/2017,234.98,236.99,185.14,18498.32257
15/09/2017,192.76,225,167.26,34035.44866
16/09/2017,220,232.44,206.1,11159.25156
17/09/2017,215.99,226.97,200.02,6267.025594
18/09/2017,220.66,255.52,219.02,13400.64786
19/09/2017,247,249.8,231.42,6656.728079
20/09/2017,236.21,246.42,233,3770.910151
21/09/2017,242.71,243.15,209.55,9538.325733
22/09/2017,218.49,228,215,5653.530188
23/09/2017,224.19,249.43,221,6074.525973
24/09/2017,239.5,246.62,236.38,4275.946956
25/09/2017,242,253.4,240,5023.057498
26/09/2017,249.23,251.74,244.25,3592.449229
27/09/2017,246.05,269.79,244.65,6673.949228
28/09/2017,264.16,269.89,251,4655.694847
29/09/2017,257.69,261.1,231,6484.640908
30/09/2017,249.68,259.38,248.6,1699.086331
01/10/2017,256.8,258.55,251.01,1183.754765
02/10/2017,256.69,260.4,251,4322.249894
03/10/2017,256,257.21,246.59,3827.384699
04/10/2017,250.39,255,249.25,1731.545568
05/10/2017,250.02,253,247.1,2114.938334
06/10/2017,253,259.71,251.73,2887.426703
07/10/2017,259.8,265.93,259.5,1970.900507
08/10/2017,264.79,265.98,262,1674.116124
09/10/2017,262.79,263.91,244.1,6502.188824
10/10/2017,252.97,260.88,248.01,3320.280347
11/10/2017,254.82,260.88,253,2827.746058
12/10/2017,256.21,259,255.1,3335.264777
13/10/2017,257.22,293.63,250.6,15841.10637
14/10/2017,286.15,292.66,277,4666.275248
15/10/2017,290.89,290.9,271.7,8365.893918
16/10/2017,282.23,295.89,281.24,7361.89654
17/10/2017,284.99,285,268.12,6104.047141
18/10/2017,268.12,272.23,246,9098.853126
19/10/2017,267.44,269.69,259.13,3559.789449
20/10/2017,263,264.8,256.53,3766.048818
21/10/2017,258.09,259.43,250.5,3882.524351
22/10/2017,257.07,263,250.2,2137.233774
23/10/2017,251.09,251.1,236,7377.255171
24/10/2017,243.2,268.51,241,10132.12719
25/10/2017,255.64,259,250,3569.137266
26/10/2017,254.52,257.09,252.25,1891.108372
27/10/2017,254.17,257.09,252.25,1618.810964
28/10/2017,254.17,257.09,252.25,1618.810964
29/10/2017,255.11,270,255.11,3809.35683
30/10/2017,262.38,268.7,260.51,2666.746113
31/10/2017,263.97,265.99,263.69,2390.879891
01/11/2017,264.6,265.81,257.11,3969.074142
02/11/2017,264.6,265.81,257.11,3969.074142
03/11/2017,247.9,268.9,246,10309.93115
04/11/2017,263.89,267.5,256.7,2925.706429
05/11/2017,260.35,261.98,257,2668.806238
06/11/2017,258.39,266.03,253.83,6424.151373
07/11/2017,260.78,264.87,251.73,7582.559417
08/11/2017,255.08,278.35,254,14006.38492
09/11/2017,269.36,287,266.67,12322.38323
10/11/2017,277.24,283.53,250.31,15702.45343
11/11/2017,261.77,278.42,258.4,8891.774722
12/11/2017,265.18,278.42,258,13269.92261
13/11/2017,265.18,278.42,258,13269.92261
14/11/2017,273.96,291.17,273.5,11261.55563
15/11/2017,286.34,292.05,281.11,8105.546302
16/11/2017,282.97,287.4,277.7,10117.16199
17/11/2017,280.87,285.7,278.52,5351.083692
18/11/2017,284.89,295,282,5528.355259
19/11/2017,294.99,318.49,291.5,19373.08185
20/11/2017,304.15,319,300.5,7858.484974
21/11/2017,317,321.49,301.43,12391.2601
22/11/2017,309.96,325.94,307.01,7793.558218
